Transaction ID,Milk,Bread,Butter,Beer,Diapers,Eggs
143,1,0,0,0,0,1
144,1,1,1,1,0,1
145,0,0,1,1,1,1
146,1,0,0,1,0,0
147,1,1,1,0,0,1
148,1,0,0,0,1,1
149,0,1,0,1,0,1
150,1,1,1,0,0,0
151,1,1,1,1,0,0
152,0,0,0,0,1,1
153,0,1,0,0,1,0
154,1,0,0,0,0,1
155,0,0,1,1,0,0
156,1,0,1,0,1,0
157,1,1,1,0,1,0
158,1,1,0,0,0,1
159,1,0,0,0,0,0
160,0,1,0,0,0,0
161,1,0,0,0,1,1
162,0,1,0,0,0,1
163,0,0,0,1,1,1
164,0,0,1,0,1,1
165,0,0,0,0,0,0
166,0,0,1,0,1,0
167,1,0,0,0,1,0
168,1,1,0,0,0,1
169,0,1,1,1,0,1
170,0,0,0,0,0,1
171,0,0,0,1,1,0
172,1,0,1,0,1,1
173,0,1,0,1,0,0
174,1,0,0,0,1,0
175,1,0,0,0,1,0
176,0,1,1,1,0,1
177,0,1,1,1,1,1
178,0,0,1,0,1,0
179,0,1,1,0,0,0
180,1,1,0,0,0,0
181,0,0,1,1,1,1
182,1,1,1,1,0,0
183,0,0,0,0,0,1
184,0,1,0,1,0,1
185,1,0,1,1,0,1
186,0,0,0,1,1,0
187,0,1,0,0,1,0
188,1,1,0,0,1,1
189,1,0,0,1,0,0
190,1,1,0,0,0,0
191,1,1,1,1,0,0
192,1,0,0,1,0,0
193,0,1,0,1,1,0
194,1,1,0,0,0,0
195,0,1,1,1,0,1
196,1,0,1,0,0,0
197,0,1,1,1,1,1
198,0,1,0,1,1,1
199,1,1,0,0,1,1
